Breed Name,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Dogue de Bordeaux,5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4
Drentsche Patrijshond,3,5,5,3,3,1,None,Medium,3,3,1,3,5,3,1,5
Drever,5,5,5,3,1,2,Double,Short,4,4,3,5,5,4,4,4
Dutch Shepherd,5,3,3,3,2,2,Double,Short,3,4,5,4,5,5,2,5
English Cocker Spaniel,5,5,5,3,3,2,Double,Medium,4,3,3,4,4,3,3,4
English Foxhound,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
English Setter,5,4,4,3,3,3,Double,Medium,4,4,3,4,4,3,3,4
English Springer Spaniel,5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4
English Toy Spaniel,5,5,5,3,3,2,Double,Medium,3,4,3,4,3,3,2,3
Entlebucher Mountain Dog,5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4
Estrela Mountain Dog,5,5,3,3,2,4,Double,Long,2,3,5,3,4,3,3,3
Eurasier,4,4,3,3,3,2,Double,Medium,2,3,3,3,4,3,3,4
Field Spaniel,5,5,4,3,2,2,Smooth,Medium,4,3,3,4,5,3,3,3
Finnish Lapphund,5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3
Finnish Spitz,5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4
Flat-Coated Retriever,5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4
French Bulldog,5,5,4,3,1,3,Smooth,Short,5,5,3,5,4,3,1,3
French Spaniel,5,5,5,3,1,2,Smooth,Medium,5,4,3,5,5,4,3,5
German Longhaired Pointer,5,5,4,3,1,2,Double,Medium,4,4,3,4,5,4,3,4
German Pinscher,5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4
German Shepherd Dog,5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5
German Shorthaired Pointer,5,5,4,3,2,2,Smooth,Short,4,4,4,4,5,5,3,5
German Spitz,1,3,3,3,3,1,None,None,1,4,3,3,5,3,5,5
German Wirehaired Pointer,5,3,3,2,2,2,Wiry,Medium,4,4,3,4,5,5,3,4
Giant Schnauzer,4,3,3,2,4,2,Wiry,Medium,2,5,5,4,3,5,3,5
Glen of Imaal Terrier,5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3
Golden Retriever,5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4
Gordon Setter,5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4
Grand Basset Griffon Vendéen,5,3,4,3,2,2,Wiry,Medium,5,4,3,4,3,5,4,4
Great Dane,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4
Great Pyrenees,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3
Greater Swiss Mountain Dog,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4
Greyhound,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3
Hamiltonstovare,5,5,3,3,2,2,Smooth,Short,5,4,4,3,4,4,3,4
Hanoverian Scenthound,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3
Harrier,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
Havanese,5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3
Hokkaido,5,3,3,3,2,2,Double,Medium,3,3,5,3,4,4,3,4
Hovawart,5,4,4,3,2,2,Double,Medium,4,4,5,4,4,3,1,4
Ibizan Hound,5,3,5,2,1,1,Wiry,Short,3,4,3,4,3,5,3,5
Icelandic Sheepdog,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5
Irish Red and White Setter,5,5,5,2,2,2,Double,Medium,5,3,3,5,5,5,3,3
Irish Setter,5,5,5,3,3,2,Silky,Medium,5,5,3,4,4,5,3,4
Irish Terrier,5,5,1,2,1,1,Wiry,Medium,3,3,5,4,3,3,3,4
Irish Water Spaniel,5,3,3,1,3,2,Curly,Medium,3,5,3,4,5,3,1,4
Irish Wolfhound,5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3
Italian Greyhound,5,3,5,3,1,1,Smooth,Short,5,4,3,4,4,3,3,3
Jagdterrier,5,3,3,2,1,1,Wiry,Short,3,4,4,3,3,3,1,4
Japanese Akitainu,1,3,1,5,3,1,Double,Medium,1,3,5,3,1,3,3,3
Japanese Chin,5,3,5,3,2,1,Silky,Medium,3,3,3,4,3,3,2,3
Japanese Spitz,3,5,5,3,3,1,Double,Medium,5,3,3,5,5,3,3,3
